,title,date,pipe_diameter,address,full_text
0,Emergency Water Main Repair - Takoma Park,"December 30, 2022",8,602 Ethan Allen Avenue in Takoma Park,"Laurel, MD – December 30, 2022: WSSC Water is making emergency repairs to an 8-inch water main at 602 Ethan Allen Avenue in Takoma Park. Customers will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns.
We apologize for the inconvenience. Thank you for being a valued customer."
1,Emergency Water Main Repair - Capitol Heights,"December 29, 2022",12,6180 Old Central Avenue at Rollins Avenue in Capitol Heights,"Laurel, MD – December 29, 2022: WSSC Water is making emergency repairs to a 12-inch water main at 6180 Old Central Avenue at Rollins Avenue in Capitol Heights. Customers may have been experiencing low water pressure or no water in this area. Customers will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns.
We apologize for the inconvenience. Thank you for being a valued customer."
2,Emergency Water Main Repair - Oxon Hill,"December 29, 2022",8,801 Owens Road in Oxon Hill,"Laurel, MD – December 29, 2022: WSSC Water is making emergency repairs to an 8-inch water main at 801 Owens Road in Oxon Hill. Customers in this area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns.
We apologize for the inconvenience. Thank you for being a valued customer."
3,Emergency Water Main Repair - Silver Spring,"December 28, 2022",8,12001 Old Columbia Pike in Silver Spring,"Laurel, MD – December 28, 2022: WSSC Water is making emergency repairs to an 8-inch water main at 12001 Old Columbia Pike in Silver Spring. Customers in this area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns.
We apologize for the inconvenience. Thank you for being a valued customer."
4,Emergency Water Main Repair - Greenbelt,"December 28, 2022",10,9115 Springhill Ln. in Greenbelt,"Laurel, MD – December 28, 2022: WSSC Water is making emergency repairs to a 10-inch water main at 9115 Springhill Ln. in Greenbelt. Customers in this area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns.
We apologize for the inconvenience. Thank you for being a valued customer."
5,Emergency Water Main Repair - Gaithersburg,"December 26, 2022",12,16 Chestnut St. in  Gaithersburg,"Laurel, MD – December 26, 2022: WSSC Water is making emergency repairs to a 12-inch water main at 16 Chestnut St. in  Gaithersburg. Customers in this area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns.
We apologize for the inconvenience. Thank you for being a valued customer."
6,Emergency Water Main Repair - North Bethesda,"December 22, 2022",16,10900 Rockville Pike in North Bethesda,"Laurel, MD – December 22, 2022: WSSC Water is making emergency repairs to a 16-inch water main at 10900 Rockville Pike in North Bethesda. Customers in this area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns.
We apologize for the inconvenience. Thank you for being a valued customer."
7,Emergency Water Main Repair - Damascus,"December 19, 2022",10,25404 Woodfield Rd. in Damascus,"Laurel, MD – December 19, 2022: WSSC Water is making emergency repairs to a 10-inch water main at 25404 Woodfield Rd. in Damascus. Customers in this area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns.
We apologize for the inconvenience. Thank you for being a valued customer."
8,Emergency Water Main Repair - Germantown,"December 16, 2022",,,"Laurel, MD – December 16, 2022 - WSSC Water is making emergency repairs to a 24-inch water main at 12861 Clopper Road, Germantown. Temporary water service interruption will occur during repairs. 
A water station has been set up for affected customers at 13421 Clopper Road (United Church of Christ - Seneca Valley) until 8:00pm.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns
We apologize for the inconvenience and thank you for being a valued customer! 
 "
9,Emergency Water Main Repair - Bethesda,"December 14, 2022",20,700 Seven Locks Rd in Bethesda,"Laurel, MD – December 14, 2022: WSSC Water is making emergency repairs to a 20-inch water main at 700 Seven Locks Rd in Bethesda. Customers in this area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns.
We apologize for the inconvenience. Thank you for being a valued customer.
"
